,Unnamed: 0,ProductID,Title,Selling Price,MRP,Discount,Rating,Rating Count,Category
0,0,B0F6DDSHP4,"HORPIN Drone with 4k Camera Foldable 1080P HD Drone with FPV Live Video, Smart Gestures Selfie, Altitude Hold, One Key Take Off/Landing, 3D Series Flips, Headless Mode, Aerial Code Photography (Multi)",1799.0,2499.0,28.0,4.7,,Toys & Games
1,1,B0F6DDSHP4,"HORPIN Drone with 4k Camera Foldable 1080P HD Drone with FPV Live Video, Smart Gestures Selfie, Altitude Hold, One Key Take Off/Landing, 3D Series Flips, Headless Mode, Aerial Code Photography (Multi)",1799.0,2499.0,28.0,4.7,,Toys & Games
2,2,B0CQK691XQ,"Popsugar Off Roader Rechargeable Remote Control Car | RC Car Monster Truck | 4 Headlight Modes | Lithium Battery | C-Type Charging | Remote Control Car for Kids | Made in India, Red",1199.0,2799.0,57.0,4.1,3075.0,Toys & Games
3,3,B08D7NCQ5N,"Cable World Plastic Battery Operated Converting Car to Robot, Robot to Car Automatically,Robot Toy, with Light and Sound for Kids Indoor and Outdoor 3 Year, Pack of 1",399.0,1999.0,80.0,4.0,7707.0,Toys & Games
4,4,B0D7PT7RSK,"Hot Wheels Batman™ Toy Car 5-Pack, Set of 5 1:64 Scale Die-Cast Batman™-Themed Vehicles Including The Batmobile™",866.0,899.0,4.0,4.7,97.0,Toys & Games
5,5,B09RSY4RDR,"Party Propz Birthday Decoration Items - 60 Pcs Balloons for Birthday Decorations | Birthday Decorations for Kids | Bday Balloons Rose Gold, Purple, Pink,Latex, Paper (Cardstock), Foil",297.0,499.0,40.0,3.9,8195.0,Toys & Games
6,6,B0D7PT7RSK,"Hot Wheels Batman™ Toy Car 5-Pack, Set of 5 1:64 Scale Die-Cast Batman™-Themed Vehicles Including The Batmobile™",866.0,899.0,4.0,4.7,97.0,Toys & Games
7,7,B0F2JC3JTK,"L.O.T TOYS Shuttle Remote Control Car | 20Kmph, 2.4Ghz | Rc Car, Remote Car, Premium Die Cast Metal Body for All Terrain, Led Lights & Metal Shock Absorber, Comes with 2 AA Battteries (Black)",1799.0,3999.0,55.0,3.5,8.0,Toys & Games
8,8,B0BQWP91DM,"CADDLE & TOES Kids Camera, Christmas Birthday Gifts for Girls or Boys Aged 4+ to 14Years Old, Digital Camera with Video, HD,40 MP Camera Toys (Camy Blue)(SD Card Not Included)",651.0,2099.0,69.0,3.2,281.0,Toys & Games
9,9,B0F2NT4HX6,Toy BB Gun for Kids & Adults – Safe Plastic Bullet Shooting Toy Pistol with 240 Soft BB Pellets – Indoor & Outdoor Fun,189.0,499.0,62.0,5.0,4.0,Toys & Games
10,10,B0DHKQJLZQ,"Zest 4 Toyz Remote Control Car for Kids Rock Crawler 2 Wd Monster Truck Offroad High Speed Climbing Toy Vehicle Car for Boys & Girls, Black",854.0,1999.0,57.0,3.8,298.0,Toys & Games
11,11,B0F6DDSHP4,"HORPIN Drone with 4k Camera Foldable 1080P HD Drone with FPV Live Video, Smart Gestures Selfie, Altitude Hold, One Key Take Off/Landing, 3D Series Flips, Headless Mode, Aerial Code Photography (Multi)",1799.0,2499.0,28.0,4.7,,Toys & Games
12,12,B0DFY9YY73,GRAPHENE 1:32 Scale DieCast Metal Pull-Back Action Openable Doors 4x4 Thar/Jeep Premium Car Toy for Kids Realistic Miniature Model Gift 2+yrs Girls Boys Multicolor,329.0,999.0,67.0,3.8,108.0,Toys & Games
13,13,B0D7SMBSQY,"Cable World® Kitchen Playset for Kids, Kitchen Set for Toddler with Gas Sound & Light, Cooking Stove with Steam,Toy Kitchen Accessories with Running Water,Kitchen Toys for Kids Girls Boys (42 Pcs)",1189.0,2999.0,60.0,3.9,3694.0,Toys & Games
14,14,B0CFGB45S2,"Wirescorts Angle Geometric Plastic Blocks, Sorting & Stacking Toys for Toddlers and Kids Preschool, Color Stacker Shape Sorter Gift Educational Learning Toy for 1 2 3 Years Boys and Girls, Multicolor",165.0,699.0,76.0,4.1,2230.0,Toys & Games
15,15,B0C8FXF89K,"Niku Skin Friendly Ultra Soft 3 Feet Teddy Bear for Kids, Lovable Huggable Cute Soft Giant Teddy Bear for Girlfriends/Wife/Kids/Husband - (Pink, 85 cm)",368.0,999.0,63.0,3.7,1272.0,Toys & Games
16,16,B0CQ2RNJ73,Toy Imagine Gyro Magic Lattoo Toys with Music and Lights Spinning Top Toy for Kids Boy Colourful Spinner Fidget Sound Tops Best Birthday Gift for Baby khilona Age 3+ Years Old Pack of 1,162.0,199.0,19.0,3.2,972.0,Toys & Games
17,17,B0CBNR2ML6,"Mattel Games UNO Show ‘em No Mercy Card Game for Kids, Adults & Family Parties and Travel with Extra Cards, Special Rules and Tougher Penalties.",239.0,299.0,20.0,4.5,9465.0,Toys & Games
